Year,Population,Life_expectancy,Urban_population,CO2,Land_area,GDP,Gross_savings,Interest_rate
1960,10276477,70.81707317,54.19994615,88202.351,7682300.0,18577668272,31.18519412,
1961,10483000,70.97317073,54.61527235,90589.568,7682300.0,19652816665,30.63596991,2.207440174
1962,10742000,70.94243902,54.66223236,94912.961,7682300.0,19892485161,28.92692264,5.579624519
1963,10950000,70.91170732,54.99893151,101029.517,7682300.0,21507447643,29.92084982,3.273873961
1964,11167000,70.88097561,55.31792782,108979.573,7682300.0,23764139321,31.22673076,1.731210559
1965,11388000,70.8502439,55.63934844,120966.996,7682300.0,25936835032,31.08942528,2.26418151
1966,11651000,70.8195122,55.79005236,120332.605,7682300.0,27268451114,29.41514703,2.617167504
1967,11799000,70.86926829,57.71173828,129265.417,7682300.0,30397580916,31.17308968,0.4853115037
1968,12009000,70.91902439,59.4116829,134622.904,7682300.0,32665472057,29.58137621,3.259768631
1969,12263000,70.96878049,60.96052353,142257.598,7682300.0,36628961810,31.80456185,1.069711235
1970,12507000,71.01853659,62.63852243,147618.752,7682300.0,41271138985,32.67482565,1.68652945
1971,12937000,71.06829268,63.45899358,152774.554,7682300.0,45149512823,31.58456119,1.962288622
1972,13177000,71.45756098,63.10311907,157486.649,7682300.0,51967289720,30.9302221,0.7833603106
1973,13380000,71.84682927,62.94321375,170992.21,7682300.0,63737347854,30.9003558,-1.504191056
1974,13723000,72.23609756,62.16038038,172356.334,7682300.0,88831245394,31.98500133,-6.020115362
1975,13893000,72.62536585,62.19234147,175883.988,7682300.0,97170558514,27.25624666,-5.337893848
1976,14033000,73.01463415,62.36882349,174244.839,7682300.0,104921215177,26.26931302,-3.598997077
1977,14192000,73.34439024,62.30374154,187787.07,7682300.0,110201881165,25.76763745,-1.384973093
1978,14358000,73.67414634,62.21857501,202015.03,7682300.0,118338596887,24.24537024,1.052514096
1979,14514000,74.00390244,62.18616508,205069.641,7682300.0,134712029990,25.90756154,0.4514676838
1980,14692000,74.33365854,62.07028315,220746.066,7682300.0,149774930362,26.79526569,-0.03343452245
1981,14927000,74.66341463,61.72776177,230360.94,7682300.0,176642284918,26.1117903,2.10702243
1982,15178000,74.90487805,61.51278166,234119.615,7682300.0,193770274743,26.11579942,1.416275825
1983,15369000,75.14634146,61.55641877,225003.453,7682300.0,177030416472,22.20483514,2.050566334
1984,15544000,75.38780488,61.6758878,236594.84,7682300.0,193242166274,24.80340054,3.371675151
1985,15758000,75.62926829,61.64999365,241229.928,7682300.0,180234716576,25.8154163,7.444255902
1986,16018400,75.87073171,61.46020202,239964.813,7682300.0,182036933408,24.62227175,8.026114619
1987,16263900,76.15170732,61.43003831,256106.947,7682300.0,189060349391,24.21248267,7.501286052
1988,16532200,76.43268293,61.33214575,261145.405,7682300.0,235659196740,26.54790207,6.411695294
1989,16814400,76.71365854,61.19913289,277771.583,7682300.0,299267974921,28.12198155,6.596303523
1990,17065100,76.99463415,61.1993308,263704.971,7682300.0,310777222008,27.59530029,9.669791408
1991,17284000,77.27560976,61.32585628,261471.768,7682300.0,325310415195,24.60902629,10.07083699
1992,17495000,77.37804878,61.23496999,267984.36,7682300.0,324878874106,22.02490294,8.946688063
1993,17667000,77.87804878,61.28799457,277397.549,7682300.0,311544406970,22.83475045,8.447301476
1994,17855000,77.87804878,61.29451694,278119.948,7682300.0,322211691456,23.9491838,7.984783638
1995,18072000,77.82926829,61.21115538,281860.288,7682300.0,367216364716,24.07924508,8.054966025
1996,18311000,78.07804878,61.0644476,302164.467,7682300.0,400302731411,24.3973169,6.848742914
1997,18517000,78.4804878,60.51489982,305794.797,7682300.0,434568007513,25.19147618,5.861114393
1998,18711000,78.63170732,60.01842766,316883.805,7682300.0,398899138574,24.81172324,5.342386955
1999,18926000,78.93170732,59.46843496,325343.574,7682300.0,388608221582,23.76749804,6.187513529
2000,19153000,79.23414634,58.89639743,329443.28,7682300.0,415222633926,24.14835161,5.00773849
2001,19413000,79.63414634,58.24218822,324844.862,7682300.0,378376086723,23.56602077,2.122768612
2002,19651400,79.93658537,58.27181778,341353.696,7682300.0,394648911679,24.48502028,3.404717507
2003,19895400,80.23902439,58.29543513,336271.234,7682300.0,466488060571,23.91043248,3.393273388
2004,20127400,80.4902439,58.36546698,342699.485,7682300.0,612490396927,24.45789331,3.619128093
2005,20394800,80.84146341,58.34166062,350172.831,7682300.0,693407758232,24.81799623,3.334521094
2006,20697900,81.04146341,58.23126501,365346.877,7682300.0,746054207847,25.78816374,2.39807602
2007,20827600,81.29268293,59.02911041,372090.49,7682300.0,853099630996,25.92718709,3.032237433
2008,21249200,81.39512195,59.02113962,385904.079,7682300.0,1053995523724,26.11743861,4.192998028
2009,21691700,81.54390244,58.97763661,394792.887,7682300.0,927805183331,27.6077753,0.9704164202
2010,22031750,81.69512195,59.23583465,390861.863,7682300.0,1146138465604,25.82163846,6.041415743
2011,22340024,81.89512195,59.5951777,391818.95,7682300.0,1396649906339,27.47345446,1.397395241
2012,22733465,82.04634146,59.68724961,388126.281,7682300.0,1546151783873,27.49393447,5.025178277
2013,23128129,82.14878049,59.79226422,372266.506,7682300.0,1576184467015,26.59976164,6.311181032
2014,23475686,82.3,60.03789197,361261.839,7682300.0,1467483705132,26.31805471,4.405248823
2015,23815995,82.4,60.31729516,,7692020.0,1351693984525,24.74601456,6.158502557
2016,24190907,82.44878049,60.52645318,,7692020.0,1208846993740,23.0965115,5.985742318
2017,24601860,82.5,60.66312466,,7692020.0,1330135756844,24.68719293,1.450510829
2018,24982688,82.74878049,60.89161823,,,1433904348500,24.90799403,3.303623962
