,cylinders,displacement,horsepower,weight,acceleration,model_year,origin_USA,origin_EU,origin_JP
3,8,304.0,150.0,3433,12.0,70,1,0,0
18,4,97.0,88.0,2130,14.5,70,0,0,1
376,4,91.0,68.0,2025,18.2,82,0,0,1
248,4,91.0,60.0,1800,16.4,78,0,0,1
177,4,115.0,95.0,2694,15.0,75,0,1,0
63,8,400.0,175.0,4385,12.0,72,1,0,0
246,4,78.0,52.0,1985,19.4,78,0,0,1
352,4,98.0,65.0,2380,20.7,81,1,0,0
108,4,97.0,88.0,2279,19.0,73,0,0,1
90,8,429.0,198.0,4952,11.5,73,1,0,0
231,8,400.0,190.0,4325,12.2,77,1,0,0
334,3,70.0,100.0,2420,12.5,80,0,0,1
118,4,116.0,75.0,2158,15.5,73,0,1,0
218,4,79.0,58.0,1825,18.6,77,0,1,0
210,6,156.0,108.0,2930,15.5,76,0,0,1
378,4,105.0,63.0,2125,14.7,82,1,0,0
371,4,135.0,84.0,2525,16.0,82,1,0,0
280,6,231.0,115.0,3245,15.4,79,1,0,0
323,4,156.0,105.0,2800,14.4,80,1,0,0
75,8,318.0,150.0,4077,14.0,72,1,0,0
245,4,98.0,66.0,1800,14.4,78,1,0,0
110,4,108.0,94.0,2379,16.5,73,0,0,1
16,6,199.0,97.0,2774,15.5,70,1,0,0
66,8,304.0,150.0,3672,11.5,72,1,0,0
153,6,250.0,105.0,3459,16.0,75,1,0,0
7,8,440.0,215.0,4312,8.5,70,1,0,0
19,4,97.0,46.0,1835,20.5,70,0,1,0
137,8,350.0,150.0,4699,14.5,74,1,0,0
353,4,105.0,74.0,2190,14.2,81,0,1,0
347,4,85.0,65.0,1975,19.4,81,0,0,1
131,4,71.0,65.0,1836,21.0,74,0,0,1
182,4,107.0,86.0,2464,15.5,76,0,1,0
291,8,267.0,125.0,3605,15.0,79,1,0,0
384,4,91.0,67.0,1965,15.7,82,0,0,1
296,4,121.0,80.0,2670,15.0,79,1,0,0
60,4,140.0,90.0,2408,19.5,72,1,0,0
79,4,96.0,69.0,2189,18.0,72,0,1,0
284,6,225.0,110.0,3360,16.6,79,1,0,0
304,4,91.0,69.0,2130,14.7,79,0,1,0
277,6,163.0,133.0,3410,15.8,78,0,1,0
157,8,350.0,145.0,4440,14.0,75,1,0,0
109,4,140.0,72.0,2401,19.5,73,1,0,0
17,6,200.0,85.0,2587,16.0,70,1,0,0
253,6,200.0,95.0,3155,18.2,78,1,0,0
24,6,199.0,90.0,2648,15.0,70,1,0,0
361,6,168.0,116.0,2900,12.6,81,0,0,1
349,4,91.0,68.0,1985,16.0,81,0,0,1
392,4,151.0,90.0,2950,17.3,82,1,0,0
379,4,98.0,70.0,2125,17.3,82,1,0,0
358,4,120.0,74.0,2635,18.3,81,0,0,1
310,4,89.0,60.0,1968,18.8,80,0,0,1
145,4,83.0,61.0,2003,19.0,74,0,0,1
324,4,85.0,65.0,2110,19.2,80,0,0,1
176,6,232.0,90.0,3211,17.0,75,1,0,0
119,4,114.0,91.0,2582,14.0,73,0,1,0
192,6,250.0,105.0,3353,14.5,76,1,0,0
202,6,258.0,95.0,3193,17.8,76,1,0,0
345,4,81.0,60.0,1760,16.1,81,0,0,1
237,4,98.0,63.0,2051,17.0,77,1,0,0
355,4,107.0,75.0,2210,14.4,81,0,0,1
36,6,250.0,88.0,3302,15.5,71,1,0,0
139,8,302.0,140.0,4638,16.0,74,1,0,0
290,8,351.0,142.0,4054,14.3,79,1,0,0
155,6,250.0,72.0,3158,19.5,75,1,0,0
194,6,232.0,90.0,3085,17.6,76,1,0,0
195,4,85.0,52.0,2035,22.2,76,1,0,0
59,4,97.0,54.0,2254,23.5,72,0,1,0
111,3,70.0,90.0,2124,13.5,73,0,0,1
219,4,122.0,96.0,2300,15.5,77,1,0,0
173,4,119.0,97.0,2545,17.0,75,0,0,1
6,8,454.0,220.0,4354,9.0,70,1,0,0
287,8,351.0,138.0,3955,13.2,79,1,0,0
274,5,131.0,103.0,2830,15.9,78,0,1,0
150,4,108.0,93.0,2391,15.5,74,0,0,1
10,8,383.0,170.0,3563,10.0,70,1,0,0
331,4,97.0,67.0,2145,18.0,80,0,0,1
103,8,400.0,150.0,4997,14.0,73,1,0,0
81,4,97.0,92.0,2288,17.0,72,0,0,1
227,6,225.0,100.0,3630,17.7,77,1,0,0
239,4,97.0,67.0,1985,16.4,77,0,0,1
299,4,141.0,71.0,3190,24.8,79,0,1,0
211,6,168.0,120.0,3820,16.7,76,0,1,0
167,4,97.0,75.0,2171,16.0,75,0,0,1
165,8,262.0,110.0,3221,13.5,75,1,0,0
89,8,318.0,150.0,3777,12.5,73,1,0,0
265,8,318.0,140.0,4080,13.7,78,1,0,0
163,6,225.0,95.0,3785,19.0,75,1,0,0
147,4,90.0,75.0,2108,15.5,74,0,1,0
283,6,232.0,90.0,3265,18.2,79,1,0,0
92,8,351.0,158.0,4363,13.0,73,1,0,0
69,8,350.0,160.0,4456,13.5,72,1,0,0
123,6,156.0,122.0,2807,13.5,73,0,0,1
96,8,360.0,175.0,3821,11.0,73,1,0,0
143,4,97.0,78.0,2300,14.5,74,0,1,0
302,4,105.0,70.0,2150,14.9,79,1,0,0
97,6,225.0,105.0,3121,16.5,73,1,0,0
228,6,250.0,98.0,3525,19.0,77,1,0,0
68,8,350.0,155.0,4502,13.5,72,1,0,0
23,4,121.0,113.0,2234,12.5,70,0,1,0
37,6,232.0,100.0,3288,15.5,71,1,0,0
144,4,76.0,52.0,1649,16.5,74,0,0,1
122,4,121.0,110.0,2660,14.0,73,0,1,0
67,8,429.0,208.0,4633,11.0,72,1,0,0
250,8,318.0,140.0,3735,13.2,78,1,0,0
357,4,119.0,100.0,2615,14.8,81,0,0,1
278,4,89.0,71.0,1990,14.9,78,0,1,0
316,6,225.0,90.0,3381,18.7,80,1,0,0
193,6,200.0,81.0,3012,17.6,76,1,0,0
125,6,198.0,95.0,3102,16.5,74,1,0,0
146,4,90.0,75.0,2125,14.5,74,1,0,0
233,4,97.0,78.0,1940,14.5,77,0,1,0
86,8,304.0,150.0,3672,11.5,73,1,0,0
335,4,122.0,88.0,2500,15.1,80,0,1,0
203,4,97.0,71.0,1825,12.2,76,0,1,0
336,4,140.0,104.46938775510205,2905,14.3,80,1,0,0
223,8,318.0,145.0,4140,13.7,77,1,0,0
258,6,231.0,105.0,3380,15.8,78,1,0,0
301,4,105.0,70.0,2200,13.2,79,1,0,0
183,4,116.0,81.0,2220,16.9,76,0,1,0
327,5,121.0,67.0,2950,19.9,80,0,1,0
282,4,140.0,88.0,2890,17.3,79,1,0,0
209,4,120.0,88.0,3270,21.9,76,0,1,0
281,6,200.0,85.0,2990,18.2,79,1,0,0
129,4,79.0,67.0,1950,19.0,74,0,0,1
38,8,350.0,165.0,4209,12.0,71,1,0,0
11,8,340.0,160.0,3609,8.0,70,1,0,0
326,4,90.0,48.0,2335,23.7,80,0,1,0
185,4,98.0,79.0,2255,17.7,76,1,0,0
220,4,85.0,70.0,1945,16.8,77,0,0,1
112,4,122.0,85.0,2310,18.5,73,1,0,0
179,4,121.0,98.0,2945,14.5,75,0,1,0
268,4,119.0,97.0,2300,14.7,78,0,0,1
333,6,168.0,132.0,2910,11.4,80,0,0,1
117,4,68.0,49.0,1867,19.5,73,0,1,0
366,6,225.0,85.0,3465,16.6,81,1,0,0
374,4,151.0,104.46938775510205,3035,20.5,82,1,0,0
382,4,108.0,70.0,2245,16.9,82,0,0,1
286,8,302.0,129.0,3725,13.4,79,1,0,0
360,6,145.0,76.0,3160,19.6,81,0,1,0
164,6,231.0,110.0,3039,15.0,75,1,0,0
385,4,91.0,67.0,1995,16.2,82,0,0,1
136,8,302.0,140.0,4141,14.0,74,1,0,0
154,6,250.0,72.0,3432,21.0,75,1,0,0
199,6,225.0,100.0,3651,17.7,76,1,0,0
197,4,90.0,70.0,1937,14.2,76,0,1,0
390,4,144.0,96.0,2665,13.9,82,0,0,1
2,8,318.0,150.0,3436,11.0,70,1,0,0
204,4,85.0,70.0,1990,17.0,76,0,0,1
115,8,350.0,145.0,4082,13.0,73,1,0,0
232,8,351.0,149.0,4335,14.5,77,1,0,0
369,4,112.0,88.0,2395,18.0,82,1,0,0
26,8,307.0,200.0,4376,15.0,70,1,0,0
120,4,121.0,112.0,2868,15.5,73,0,1,0
305,4,151.0,90.0,2670,16.0,79,1,0,0
224,8,302.0,130.0,4295,14.9,77,1,0,0
346,4,97.0,67.0,2065,17.8,81,0,0,1
266,4,98.0,68.0,2155,16.5,78,1,0,0
314,4,140.0,88.0,2870,18.1,80,1,0,0
342,4,135.0,84.0,2385,12.9,81,1,0,0
127,6,232.0,100.0,2901,16.0,74,1,0,0
74,8,302.0,140.0,4294,16.0,72,1,0,0
321,4,108.0,75.0,2265,15.2,80,0,0,1
29,4,97.0,88.0,2130,14.5,71,0,0,1
83,4,98.0,80.0,2164,15.0,72,1,0,0
329,4,91.0,67.0,1850,13.8,80,0,0,1
107,6,232.0,100.0,2789,15.0,73,1,0,0
247,4,85.0,70.0,2070,18.6,78,0,0,1
255,4,140.0,88.0,2720,15.4,78,1,0,0
133,6,250.0,100.0,3781,17.0,74,1,0,0
244,4,90.0,48.0,1985,21.5,78,0,1,0
184,4,140.0,92.0,2572,14.9,76,1,0,0
289,8,350.0,155.0,4360,14.9,79,1,0,0
44,8,400.0,175.0,5140,12.0,71,1,0,0
365,6,200.0,88.0,3060,17.1,81,1,0,0
65,8,351.0,153.0,4129,13.0,72,1,0,0
320,4,119.0,92.0,2434,15.0,80,0,0,1
85,8,350.0,175.0,4100,13.0,73,1,0,0
242,4,121.0,110.0,2600,12.8,77,0,1,0
186,4,101.0,83.0,2202,15.3,76,0,1,0
159,8,351.0,148.0,4657,13.5,75,1,0,0
12,8,400.0,150.0,3761,9.5,70,1,0,0
35,6,250.0,100.0,3329,15.5,71,1,0,0
28,8,304.0,193.0,4732,18.5,70,1,0,0
170,4,140.0,78.0,2592,18.5,75,1,0,0
142,4,79.0,67.0,1963,15.5,74,0,1,0
317,4,97.0,78.0,2188,15.8,80,0,1,0
271,4,156.0,105.0,2745,16.7,78,1,0,0
221,8,305.0,145.0,3880,12.5,77,1,0,0
95,8,455.0,225.0,4951,11.0,73,1,0,0
51,4,79.0,70.0,2074,19.5,71,0,1,0
240,4,97.0,78.0,2190,14.1,77,0,1,0
297,5,183.0,77.0,3530,20.1,79,0,1,0
325,4,90.0,48.0,2085,21.7,80,0,1,0
178,4,120.0,88.0,2957,17.0,75,0,1,0
41,8,318.0,150.0,4096,13.0,71,1,0,0
332,4,89.0,62.0,1845,15.3,80,0,1,0
206,4,140.0,72.0,2565,13.6,76,1,0,0
254,6,200.0,85.0,2965,15.8,78,1,0,0
387,6,262.0,85.0,3015,17.0,82,1,0,0
4,8,302.0,140.0,3449,10.5,70,1,0,0
256,6,225.0,100.0,3430,17.2,78,1,0,0
356,4,108.0,75.0,2350,16.8,81,0,0,1
100,6,250.0,88.0,3021,16.5,73,1,0,0
226,6,231.0,105.0,3425,16.9,77,1,0,0
340,4,156.0,92.0,2620,14.4,81,1,0,0
213,8,350.0,145.0,4055,12.0,76,1,0,0
171,4,134.0,96.0,2702,13.5,75,0,0,1
98,6,250.0,100.0,3278,18.0,73,1,0,0
215,8,318.0,150.0,3755,14.0,76,1,0,0
61,4,122.0,86.0,2226,16.5,72,1,0,0
47,6,250.0,100.0,3282,15.0,71,1,0,0
32,4,98.0,104.46938775510205,2046,19.0,71,1,0,0
267,4,134.0,95.0,2560,14.2,78,0,0,1
200,6,250.0,78.0,3574,21.0,76,1,0,0
354,4,100.0,104.46938775510205,2320,15.8,81,0,1,0
27,8,318.0,210.0,4382,13.5,70,1,0,0
311,4,98.0,70.0,2120,15.5,80,1,0,0
230,8,350.0,170.0,4165,11.4,77,1,0,0
260,6,225.0,110.0,3620,18.7,78,1,0,0
288,8,318.0,135.0,3830,15.2,79,1,0,0
162,6,258.0,110.0,3730,19.0,75,1,0,0
338,4,135.0,84.0,2490,15.7,81,1,0,0
138,8,318.0,150.0,4457,13.5,74,1,0,0
62,8,350.0,165.0,4274,12.0,72,1,0,0
135,6,225.0,105.0,3613,16.5,74,1,0,0
128,6,250.0,100.0,3336,17.0,74,1,0,0
8,8,455.0,225.0,4425,10.0,70,1,0,0
64,8,318.0,150.0,4135,13.5,72,1,0,0
300,8,260.0,90.0,3420,22.2,79,1,0,0
14,4,113.0,95.0,2372,15.0,70,0,0,1
156,8,400.0,170.0,4668,11.5,75,1,0,0
40,8,351.0,153.0,4154,13.5,71,1,0,0
364,8,350.0,105.0,3725,19.0,81,1,0,0
322,4,86.0,65.0,2110,17.9,80,0,0,1
216,4,98.0,68.0,2045,18.5,77,0,0,1
279,4,98.0,68.0,2135,16.6,78,0,0,1
368,4,112.0,88.0,2640,18.6,82,1,0,0
236,4,140.0,89.0,2755,15.8,77,1,0,0
207,4,130.0,102.0,3150,15.7,76,0,1,0
212,8,350.0,180.0,4380,12.1,76,1,0,0
295,4,98.0,80.0,1915,14.4,79,1,0,0
362,6,146.0,120.0,2930,13.8,81,0,0,1
251,8,302.0,139.0,3570,12.8,78,1,0,0
388,4,156.0,92.0,2585,14.5,82,1,0,0
363,6,231.0,110.0,3415,15.8,81,1,0,0
303,4,85.0,65.0,2020,19.2,79,0,0,1
269,4,105.0,75.0,2230,14.5,78,1,0,0
201,6,250.0,110.0,3645,16.2,76,1,0,0
161,6,250.0,105.0,3897,18.5,75,1,0,0
43,8,400.0,170.0,4746,12.0,71,1,0,0
217,4,111.0,80.0,2155,14.8,77,1,0,0
190,8,351.0,152.0,4215,12.8,76,1,0,0
309,4,98.0,76.0,2144,14.7,80,0,1,0
259,6,200.0,85.0,3070,16.7,78,1,0,0
105,8,360.0,170.0,4654,13.0,73,1,0,0
53,4,71.0,65.0,1773,19.0,71,0,0,1
1,8,350.0,165.0,3693,11.5,70,1,0,0
49,4,122.0,86.0,2220,14.0,71,1,0,0
80,4,122.0,86.0,2395,16.0,72,1,0,0
205,4,97.0,75.0,2155,16.4,76,0,0,1
34,6,225.0,105.0,3439,15.5,71,1,0,0
263,6,231.0,165.0,3445,13.4,78,1,0,0
91,8,400.0,150.0,4464,12.0,73,1,0,0
339,4,151.0,84.0,2635,16.4,81,1,0,0
52,4,88.0,76.0,2065,14.5,71,0,1,0
264,8,302.0,139.0,3205,11.2,78,1,0,0
241,6,146.0,97.0,2815,14.5,77,0,0,1
13,8,455.0,225.0,3086,10.0,70,1,0,0
315,4,151.0,90.0,3003,20.1,80,1,0,0
88,8,302.0,137.0,4042,14.5,73,1,0,0
273,4,119.0,97.0,2405,14.9,78,0,0,1
166,8,302.0,129.0,3169,12.0,75,1,0,0
328,4,146.0,67.0,3250,21.8,80,0,1,0
391,4,135.0,84.0,2370,13.0,82,1,0,0
134,6,258.0,110.0,3632,18.0,74,1,0,0
306,6,173.0,115.0,2595,11.3,79,1,0,0
381,4,107.0,75.0,2205,14.5,82,0,0,1
319,4,120.0,75.0,2542,17.5,80,0,0,1
243,3,80.0,110.0,2720,13.5,77,0,0,1
54,4,72.0,69.0,1613,18.0,71,0,0,1
50,4,116.0,90.0,2123,14.0,71,0,1,0
174,6,171.0,97.0,2984,14.5,75,1,0,0
189,8,304.0,120.0,3962,13.9,76,1,0,0
395,4,135.0,84.0,2295,11.6,82,1,0,0
187,8,305.0,140.0,4215,13.0,76,1,0,0
169,6,232.0,100.0,2914,16.0,75,1,0,0
58,4,97.5,80.0,2126,17.0,72,1,0,0
48,6,250.0,88.0,3139,14.5,71,1,0,0
344,4,86.0,64.0,1875,16.4,81,1,0,0
235,4,97.0,75.0,2265,18.2,77,0,0,1
252,6,231.0,105.0,3535,19.2,78,1,0,0
21,4,107.0,90.0,2430,14.5,70,0,1,0
313,4,151.0,90.0,2678,16.5,80,1,0,0
160,6,231.0,110.0,3907,21.0,75,1,0,0
276,4,121.0,115.0,2795,15.7,78,0,1,0
191,6,225.0,100.0,3233,15.4,76,1,0,0
293,4,89.0,71.0,1925,14.0,79,0,1,0
343,4,79.0,58.0,1755,16.9,81,0,0,1
257,6,232.0,90.0,3210,17.2,78,1,0,0
308,4,151.0,90.0,2556,13.2,79,1,0,0
149,4,120.0,97.0,2489,15.0,74,0,0,1
130,4,122.0,80.0,2451,16.5,74,1,0,0
151,4,79.0,67.0,2000,16.0,74,0,1,0
359,4,141.0,80.0,3230,20.4,81,0,1,0
99,6,232.0,100.0,2945,16.0,73,1,0,0
372,4,151.0,90.0,2735,18.0,82,1,0,0
87,8,350.0,145.0,3988,13.0,73,1,0,0
330,4,85.0,104.46938775510205,1835,17.3,80,0,1,0
214,8,302.0,130.0,3870,15.0,76,1,0,0
121,8,318.0,150.0,3399,11.0,73,1,0,0
397,4,119.0,82.0,2720,19.4,82,1,0,0
20,4,110.0,87.0,2672,17.5,70,0,1,0
188,8,318.0,150.0,4190,13.0,76,1,0,0
71,3,70.0,97.0,2330,13.5,72,0,0,1
106,8,350.0,180.0,4499,12.5,73,1,0,0
270,4,134.0,95.0,2515,14.8,78,0,0,1
348,4,89.0,62.0,2050,17.3,81,0,0,1
102,4,97.0,46.0,1950,21.0,73,0,1,0
